Source,Target,Type,Weight
6.86E+18,7.65E+18,Undirected,1
6.88E+18,7.65E+18,Undirected,1
7.01E+18,7.65E+18,Undirected,2
7.25E+18,7.65E+18,Undirected,1
7.17E+18,7.65E+18,Undirected,1
6.79E+18,7.65E+18,Undirected,1
7.33E+18,7.65E+18,Undirected,1
7.00E+18,7.65E+18,Undirected,1
6.65E+18,7.65E+18,Undirected,1
6.97E+18,7.65E+18,Undirected,2
6.56E+18,7.65E+18,Undirected,1
6.76E+18,7.65E+18,Undirected,1
6.86E+18,6.94E+18,Undirected,1
6.88E+18,6.94E+18,Undirected,1
6.94E+18,7.01E+18,Undirected,1
6.94E+18,7.25E+18,Undirected,1
6.94E+18,7.17E+18,Undirected,1
6.79E+18,6.94E+18,Undirected,1
6.94E+18,7.33E+18,Undirected,1
6.94E+18,7.00E+18,Undirected,1
6.65E+18,6.94E+18,Undirected,1
6.94E+18,6.97E+18,Undirected,1
6.56E+18,6.94E+18,Undirected,1
6.76E+18,6.94E+18,Undirected,1
6.86E+18,6.88E+18,Undirected,1
6.86E+18,7.01E+18,Undirected,1
6.86E+18,7.25E+18,Undirected,1
6.86E+18,7.17E+18,Undirected,1
6.79E+18,6.86E+18,Undirected,1
6.86E+18,7.33E+18,Undirected,1
6.86E+18,7.00E+18,Undirected,1
6.65E+18,6.86E+18,Undirected,1
6.86E+18,6.97E+18,Undirected,1
6.56E+18,6.86E+18,Undirected,1
6.76E+18,6.86E+18,Undirected,1
6.88E+18,7.01E+18,Undirected,1
6.88E+18,7.25E+18,Undirected,1
6.88E+18,7.17E+18,Undirected,1
6.79E+18,6.88E+18,Undirected,1
6.88E+18,7.33E+18,Undirected,1
6.88E+18,7.00E+18,Undirected,1
6.65E+18,6.88E+18,Undirected,1
6.88E+18,6.97E+18,Undirected,2
6.56E+18,6.88E+18,Undirected,1
6.76E+18,6.88E+18,Undirected,1
7.01E+18,7.25E+18,Undirected,1
7.01E+18,7.17E+18,Undirected,1
6.79E+18,7.01E+18,Undirected,1
7.01E+18,7.33E+18,Undirected,1
7.00E+18,7.01E+18,Undirected,1
6.65E+18,7.01E+18,Undirected,1
6.97E+18,7.01E+18,Undirected,2
6.56E+18,7.01E+18,Undirected,1
6.76E+18,7.01E+18,Undirected,1
7.17E+18,7.25E+18,Undirected,1
6.79E+18,7.25E+18,Undirected,1
7.25E+18,7.33E+18,Undirected,1
7.00E+18,7.25E+18,Undirected,1
6.65E+18,7.25E+18,Undirected,1
6.97E+18,7.25E+18,Undirected,1
6.56E+18,7.25E+18,Undirected,1
6.76E+18,7.25E+18,Undirected,1
6.79E+18,7.17E+18,Undirected,1
7.17E+18,7.33E+18,Undirected,1
7.00E+18,7.17E+18,Undirected,1
6.65E+18,7.17E+18,Undirected,1
6.97E+18,7.17E+18,Undirected,1
6.56E+18,7.17E+18,Undirected,1
6.76E+18,7.17E+18,Undirected,1
6.79E+18,7.33E+18,Undirected,1
6.79E+18,7.00E+18,Undirected,1
6.65E+18,6.79E+18,Undirected,1
6.79E+18,6.97E+18,Undirected,1
6.56E+18,6.79E+18,Undirected,1
6.76E+18,6.79E+18,Undirected,1
7.00E+18,7.33E+18,Undirected,2
6.65E+18,7.33E+18,Undirected,1
6.97E+18,7.33E+18,Undirected,1
6.56E+18,7.33E+18,Undirected,1
6.76E+18,7.33E+18,Undirected,1
6.65E+18,7.00E+18,Undirected,1
6.97E+18,7.00E+18,Undirected,1
6.56E+18,7.00E+18,Undirected,1
6.76E+18,7.00E+18,Undirected,1
6.65E+18,6.97E+18,Undirected,1
6.56E+18,6.65E+18,Undirected,2
6.65E+18,6.76E+18,Undirected,1
6.56E+18,6.97E+18,Undirected,1
6.76E+18,6.97E+18,Undirected,1
6.56E+18,6.76E+18,Undirected,1
6.81E+18,7.65E+18,Undirected,1
6.62E+18,6.65E+18,Undirected,1
6.79E+18,7.28E+18,Undirected,1
7.28E+18,7.65E+18,Undirected,1
7.28E+18,7.29E+18,Undirected,1
7.28E+18,7.65E+18,Undirected,1
